Gene	logConc	logFC	LR.statistic	p.value	FDR
SPU_000430	7.58349507564536	0.0357462203629534	0.061386960842265	0.804317071076921	0.918382466143733
SPU_000431	6.52482259876241	-0.295204622111556	3.84339207216668	0.0499423865827506	0.19111401595305
SPU_000432	6.03730298025378	-0.126312325323498	0.940494730653634	0.332150642067357	0.60121379099789
SPU_000434	2.49906474626905	0.705390562039258	1.15925457384526	0.281620188901849	0.548778800535765
SPU_000435	1.47236739078624	-0.440303210442309	0.89765198767367	0.343412080681224	0.611811490415524
SPU_000436	0.701708111998597	0.280112227293168	0.0871729065242127	0.767802463955308	0.903008783131053
SPU_000437	5.8062742229966	-0.270036138747651	5.65793397976234	0.0173765802582827	0.0939168992970155
SPU_000438	5.75977738776058	-0.373715655130887	8.99243476338459	0.00271099557666222	0.0247577936766746
SPU_000439	9.19508925427546	-0.488432396237086	18.2605009374038	1.92660905285371e-05	0.000448426486448418
SPU_000440	6.00559424164267	0.149743328341408	1.67342533820081	0.195800366110629	0.445448812616869
SPU_000441	-1.63518944293642	-0.153683314891653	0.0698580756456126	0.791543533842299	0.912685626037488
SPU_000446	5.71233666957182	0.0428610475792657	0.0576874359785413	0.810189098081127	0.920638451551261
SPU_000448	1.54312769179431	0.884540053955596	10.8547972972409	0.000985401483693394	0.011450031744447
SPU_000452	3.16291978452523	-0.385229336344108	1.87277037145965	0.171158122435224	0.41196797287864
SPU_000455	2.88020679395513	0.685027587836829	10.2227535400814	0.00138718596972287	0.0150287165164567
SPU_000456	2.85317949114482	-0.171741629709535	0.294431332174466	0.587394722494063	0.798796283323133
SPU_000458	1.57825822236572	-0.387728952432964	0.84463951622256	0.358073229213708	0.624128606945687
SPU_000461	4.94881989038724	0.192199200536584	1.03961936052566	0.30791001509857	0.576556605339746
SPU_000468	2.98899519953015	0.333721732416565	2.20355150121917	0.137693177339598	0.361137798697162
SPU_000469	0.717611456693925	0.0372660917790726	0.00944555189513957	0.922576915529712	0.969011517367503
SPU_000471	2.90338439702082	-0.453899080000434	3.45597718214326	0.0630234716729229	0.221334257555662
SPU_000473	3.95617184275007	-0.827023897790903	11.8575272707481	0.000574287467680163	0.00741380956485939
SPU_000477	3.1915904480265	-0.0776102188360823	0.185709597752682	0.666511732858879	0.849204930872818
SPU_000478	3.35461595448254	0.545239211502788	3.78289925393697	0.0517788690180037	0.196177428071365
SPU_000480	3.66670536015723	0.311440330683278	5.53926553754625	0.0185943850134956	0.0987591277696526
SPU_000484	3.38076461844582	0.281597558704706	1.5948957315779	0.206628062548165	0.46139859358959
SPU_000485	-0.469885059452677	0.0454204580964808	0.00827584786669178	0.927515088113809	0.97045186261799
SPU_000486	1.55889415690805	-1.33577892966791	3.74180076461974	0.0530672245464037	0.19914537022009
SPU_000488	4.32554454217554	-0.326850222065546	3.3965569230646	0.065332657818214	0.226611148619275
SPU_000490	4.91330540947658	0.576786036917971	12.3611595350941	0.000438358352381691	0.00598453818714998
SPU_000493	3.97330745069919	0.0216876429825446	0.0235500661754586	0.878035289009176	0.950810549175041
SPU_000497	3.27375374463155	-0.127967204926679	0.290977562107551	0.589594765527479	0.800405507684184
SPU_000498	3.08261759553216	0.063126575764755	0.0857861175392212	0.769604189959282	0.90379447994241
SPU_000501	3.53969072340805	0.154617985275886	1.5685186700557	0.210422269185237	0.466187847518065
SPU_000503	8.3386902797226	-0.00709861818424808	0.00379665958106301	0.950867807010322	0.980180306038308
