Pindari_76,1976-01-12,1976-01-20,none
Tehri_rec,1973-01-15,2013-01-30,none
Schyl_rec,1963-01-10,2001-01-01,none
SouthAfrica_21,2021-07-30,2021-08-15,none
Berlin_17,2017-08-17,2017-08-21,none
Malta_21,2021-12-08,2021-12-17,none
Iceland_22,2022-05-12,2022-05-24,none
Vancouver_22,2022-07-19,2022-07-21,none
Monterey_14,2014-01-03,2014-01-07,none
Qingdao_19,2019-09-20,2019-09-24,none
McWray_22,2022-09-16,2022-09-18,none
Boone_22,2022-08-19,2022-08-22,none
Gainesville_22,2022-11-01,2022-11-04,none
Syd_19,2019-01-16,2019-01-24,none
Syd_88,1988-01-02,1988-01-10,none
Syd_89,1989-01-02,1989-01-10,none
Oaxaca_22,2022-12-04,2022-12-14,none
Berlin_23,2023-02-05,2023-02-08,none
Sing-Malay_18,2018-01-11,2018-01-19,none
Italy_23,2023-07-22,2023-08-04,none
McWray_23,2023-10-06,2023-10-08,none
Syd_23,2023-11-10,2023-11-18,none
Syd_22,2022-11-06,2022-11-14,none
Vietnam_23,2023-12-06,2023-12-22,none
Ecuador_23,2023-04-20,2023-04-28,none
SantaFe_23,2023-10-24,2023-10-29,none
Vancouver_10,2010-01-17,2010-01-19,none
