"X","Y","Animal","Trial"
1539.6582,817.776596,2,10
1524.796081,805.521277,2,10
1509.933962,796.329787,2,10
1502.502903,796.329787,2,10
1502.502903,796.329787,2,10
1502.502903,799.393617,2,10
1483.925254,802.457447,2,10
1457.916546,805.521277,2,10
1457.916546,805.521277,2,10
1446.769956,805.521277,2,10
1446.769956,805.521277,2,10
1420.761248,796.329787,2,10
1420.761248,796.329787,2,10
1394.75254,793.265957,2,10
1394.75254,793.265957,2,10
1376.174891,781.010638,2,10
1376.174891,781.010638,2,10
1357.597242,762.62766,2,10
1342.735123,750.37234,2,10
1324.157475,741.180851,2,10
2082.125544,1338.62766,3,10
2078.410015,1418.287234,3,10
2104.418723,1384.585106,3,10
2104.418723,1384.585106,3,10
2104.418723,1384.585106,3,10
2104.418723,1384.585106,3,10
2104.418723,1363.138298,3,10
2104.418723,1363.138298,3,10
2104.418723,1363.138298,3,10
2100.703193,1366.202128,3,10
2100.703193,1366.202128,3,10
2100.703193,1372.329787,3,10
2096.17,1376.02,3,10
2095.76,1376.38,3,10
2089.556604,1393.776596,3,10
2089.9,1394.15,3,10
2087.9,1400.33,3,10
2087.73,1403.66,3,10
2087.75,1403.7,3,10
2082.125544,1402.968085,3,10
2081.93,1402.98,3,10
2070.978955,1418.287234,3,10
2070.978955,1418.287234,3,10
2070.95,1418.1,3,10
2056.116836,1421.351064,3,10
2055.91,1421.2,3,10
2044.970247,1427.478723,3,10
2034.19,1433.23,3,10
2033.823657,1439.734043,3,10
2022.677068,1442.797872,3,10
2023.01,1443.14,3,10
2013.1,1448.98,3,10
2001.48,1455.28,3,10
2004.099419,1455.053191,3,10
2003.71,1455,3,10
2003.75,1454.92,3,10
2002.09,1455.37,3,10
1998.24,1460.97,3,10
1997.92,1461.26,3,10
1996.97,1460.64,3,10
1996.95,1460.57,3,10
1997.15,1467.99,3,10
1990.11,1466.63,3,10
1989.61,1466.75,3,10
1994.94,1465.99,3,10
1996.26,1465.31,3,10
1995.26,1465.04,3,10
1987.58,1459.17,3,10
1986.43,1459.73,3,10
1974.375181,1470.37234,3,10
1973.77,1470.02,3,10
2015.246009,1556.159574,3,10
2015.246009,1556.159574,3,10
2015.246009,1559.223404,3,10
2007.814949,1568.414894,3,10
2007.87,1568.11,3,10
2004.96,1567.56,3,10
2000.38389,1562.287234,3,10
1999.94,1561.87,3,10
2000.38389,1562.287234,3,10
2000.06,1562.01,3,10
2004.099419,1586.797872,3,10
1999.36,1600.43,3,10
1985.24,1617.08,3,10
1989.2373,1608.244681,3,10
1989.04,1607.81,3,10
1990,1604.59,3,10
1981.806241,1623.56383,3,10
1978.05,1634.14,3,10
1970.24,1647.97,3,10
1966.944122,1645.010638,3,10
1961.2,1660.95,3,10
1957.66,1677.81,3,10
1955.797533,1675.648936,3,10
1960.45,1678.27,3,10
1960.41,1678.42,3,10
1948.366473,1706.287234,3,10
1937.27,1723.78,3,10
1940.935414,1730.797872,3,10
1939.06,1732.96,3,10
1939.2,1733.08,3,10
1934.24,1734.05,3,10
1928.2,1735.51,3,10
1921.02,1744.11,3,10
1915.76,1754.34,3,10
1922.357765,1749.180851,3,10
1921.99,1747.64,3,10
1915.99,1752.19,3,10
1914.21,1753.26,3,10
1914.43,1752.78,3,10
1914.7,1752.54,3,10
1918.29,1753.53,3,10
1919.31,1753.57,3,10
1919.31,1753.57,3,10
1901.1,1753.9,3,10
1900.064586,1749.180851,3,10
1892.633527,1798.202128,3,10
1870.340348,1749.180851,3,10
1866.624819,1749.180851,3,10
1851.7627,1746.117021,3,10
1851.91,1745.87,3,10
1840.61611,1736.925532,3,10
1837.75,1735.08,3,10
1838.03,1735.11,3,10
1838.19,1735.52,3,10
1837.93,1735.8,3,10
1838.19,1735.6,3,10
1837.78,1735.64,3,10
1837.78,1735.64,3,10
1838.01,1736.01,3,10
1838.01,1736.01,3,10
1840.61611,1743.053191,3,10
1841.12,1742.57,3,10
1841.1,1742.64,3,10
1843.18,1741.79,3,10
1877.771408,1746.117021,3,10
1874.055878,1746.117021,3,10
1874.055878,1746.117021,3,10
1874,1746,3,10
1874.17,1745.92,3,10
1874.17,1745.92,3,10
1885.202467,1752.244681,3,10
1881.486938,1767.56383,3,10
1880.96,1768.05,3,10
1892.633527,1785.946809,3,10
1893.19,1786.19,3,10
1888.917997,1792.074468,3,10
1890.75,1793.31,3,10
1890.64,1793.49,3,10
1900.064586,1825.776596,3,10
1896.349057,1838.031915,3,10
1896.349057,1844.159574,3,10
1896.25,1844.18,3,10
1896.22,1844.16,3,10
1896.11,1843.98,3,10
1896.11,1843.98,3,10
1895.91,1844.27,3,10
1896.27,1844.14,3,10
1896.55,1844.13,3,10
1907.495646,1859.478723,3,10
1907.07,1859.13,3,10
1918.642235,1877.861702,3,10
1927.9,1899.75,3,10
1929.788824,1908.5,3,10
1922.357765,1920.755319,3,10
1921.96,1921.19,3,10
1926.073295,1936.074468,3,10
1928.58,1952.58,3,10
1929.788824,1954.457447,3,10
1929.36,1955.54,3,10
1929.39,1955.27,3,10
1929.9,1955.03,3,10
1930.01,1954.7,3,10
1930.28,1953.94,3,10
1930.66,1953.11,3,10
1944.650943,2027.989362,3,10
1959.513062,2043.308511,3,10
1970.659652,2055.56383,3,10
1971.15,2056.08,3,10
1974.375181,2055.56383,3,10
1996.66836,1105.776596,4,10
2004.099419,1111.904255,4,10
2004,1112,4,10
2003.5,1114.23,4,10
1992.51,1115.05,4,10
1985.521771,1102.712766,4,10
1984.76,1101.05,4,10
1984.49,1101.14,4,10
1980.63,1097.61,4,10
1959.513062,1090.457447,4,10
1955.797533,1090.457447,4,10
1944.650943,1084.329787,4,10
1944.88,1083.87,4,10
1929.788824,1078.202128,4,10
1923.64,1074.01,4,10
1907.495646,1065.946809,4,10
1892.79,1059.78,4,10
1900.064586,1062.882979,4,10
1881.486938,1053.691489,4,10
1859.193759,1044.5,4,10
1848.04717,1038.37234,4,10
1822.038462,1029.180851,4,10
1818.322932,1026.117021,4,10
1808.41,1021.85,4,10
1796.029753,1019.989362,4,10
1795.93,1020.03,4,10
1793.62,1019.42,4,10
1793.6,1019.04,4,10
1770.021045,1016.925532,4,10
1744.012337,1010.797872,4,10
1740.296807,1007.734043,4,10
1710.572569,992.414894,4,10
1710.572569,992.414894,4,10
